method,level,freq,mean_nRMSE,median_nRMSE,sd_nRMSE,min_nRMSE,max_nRMSE,mean_nMBE,median_nMBE,sd_nMBE,mean_skill,median_skill,mean_SMAPE,median_SMAPE,n_series
ctwlsv_ets_author,L0,Daily,13.6392136380152,13.6392136380152,,13.6392136380152,13.6392136380152,1.31232850814785,1.31232850814785,,32.5829973345985,32.5829973345985,5.31499986404989,5.31499986404989,1
ctwlsv_ets_author,L0,Hourly,23.6256164921995,23.6256164921995,,23.6256164921995,23.6256164921995,1.31232850814785,1.31232850814785,,31.7485530058403,31.7485530058403,55.1802520263919,55.1802520263919,1
ctwlsv_ets_author,L1,Daily,17.0129082096509,17.5296557971058,4.05935274992811,11.1783440598725,22.1612381326282,1.1950292702032,1.16911467438205,0.439722038499547,30.8519846176639,30.7853578623236,6.95251710711387,6.77722938820102,5
ctwlsv_ets_author,L1,Hourly,30.2149182727635,30.9694613483104,6.96540668534206,20.1780714496997,39.557093053121,1.1950292702032,1.16911467438205,0.439722038499543,30.0525385156434,29.747057106567,56.2573625030499,56.5660299740922,5
ctwlsv_ets_author,L2,Daily,22.2701733016307,23.0873497836174,4.75201658930029,12.1688700828666,37.0923125241041,1.33517553133408,1.20229842296555,0.86745559093938,27.5055243044454,27.6252585780194,9.55164578501179,9.52249713698392,318
ctwlsv_ets_author,L2,Hourly,44.4406078945546,45.9161024965056,8.51368156057158,25.9071335174119,69.5429646486075,1.33517553133408,1.20229842296556,0.867455590939379,25.8118344842659,26.0430704798194,47.2726583733917,47.7739931766835,318
ctwlsv_lgbm,L0,Daily,13.0920682215881,13.0920682215881,,13.0920682215881,13.0920682215881,-1.29464835554905,-1.29464835554905,,35.2874717256161,35.2874717256161,5.29123651954282,5.29123651954282,1
ctwlsv_lgbm,L0,Hourly,24.1952539757621,24.1952539757621,,24.1952539757621,24.1952539757621,-1.29464835554906,-1.29464835554906,,30.1029416615566,30.1029416615566,55.591734480745,55.591734480745,1
ctwlsv_lgbm,L1,Daily,17.1077327988572,17.3626076505058,4.05702744599364,11.6108672925936,22.7089357404203,-1.23880664964073,-1.16889747392836,0.424637873753028,30.3183594039926,30.8310749126541,7.21254359346018,6.96599402058894,5
ctwlsv_lgbm,L1,Hourly,31.668037192665,31.9462062067204,7.0925991846618,22.0674089523329,41.7836448720994,-1.23880664964072,-1.16889747392837,0.42463787375302,26.4851881303396,26.7668527949431,56.8176289901348,57.0022497133259,5
ctwlsv_lgbm,L2,Daily,24.0243723716756,24.4617055660727,5.03156781488282,13.2488084036636,39.2489274258324,-1.31413150318258,-1.21714090927165,0.787251605813723,21.5743589720156,21.4280914146766,10.5167812820126,10.6070085331881,318
ctwlsv_lgbm,L2,Hourly,49.0268279935373,50.0225080089813,9.04897199157761,28.6850747886038,74.937029227467,-1.31413150318258,-1.21714090927164,0.787251605813722,17.9484691556385,17.6565873134754,55.3610629239366,55.618363040333,318
ctwlsv_lgbm_nwp,L0,Daily,13.2869709316471,13.2869709316471,,13.2869709316471,13.2869709316471,0.237284305858898,0.237284305858898,,34.3240909272595,34.3240909272595,5.27691809743331,5.27691809743331,1
ctwlsv_lgbm_nwp,L0,Hourly,24.8914306403379,24.8914306403379,,24.8914306403379,24.8914306403379,0.237284305858901,0.237284305858901,,28.0917744720545,28.0917744720545,55.8522979050302,55.8522979050302,1
ctwlsv_lgbm_nwp,L1,Daily,17.1641976600964,17.4273827875669,4.08671378456303,11.6000522885035,22.8193996061572,0.231697363370842,0.292758605342152,0.15203817109135,30.1024757156064,30.259072747724,7.12474808237971,6.89435515897507,5
ctwlsv_lgbm_nwp,L1,Hourly,32.2107269513637,32.3473481325068,7.12529924568961,22.5599593256005,42.4528802578317,0.231697363370842,0.292758605342152,0.15203817109135,25.1701976821083,24.7502195075819,57.1411999402635,57.3993301996689,5
ctwlsv_lgbm_nwp,L2,Daily,23.608689496423,24.0396389849095,4.9532721241348,13.4215033227286,38.0857656595366,0.231981817662289,0.232040591202596,0.61404906774613,22.9806087639308,22.4995983145602,10.2309895469065,10.2323593371028,318
ctwlsv_lgbm_nwp,L2,Hourly,49.6032147482676,50.3653586592838,9.266575977272,30.5591357390999,76.4920706802628,0.231981817662289,0.2320405912026,0.614049067746129,17.0303469881064,16.652530396412,53.9594760348656,54.160236440268,318
ctwlsv_rf,L0,Daily,14.4215577385531,14.4215577385531,,14.4215577385531,14.4215577385531,-2.65913487956947,-2.65913487956947,,28.7159639622187,28.7159639622187,5.8035687536644,5.8035687536644,1
ctwlsv_rf,L0,Hourly,25.6199532110221,25.6199532110221,,25.6199532110221,25.6199532110221,-2.65913487956947,-2.65913487956947,,25.9871640110527,25.9871640110527,54.2011532996549,54.2011532996549,1
